name,segment,gene_id,mean,std,size,count,percentage
ERR4458955,NC_045512.2,SARS-CoV2,507.25254991138013,455.0160430684164,29903,21872.0,0.7314316289335518
ERR4458956,NC_045512.2,SARS-CoV2,661.6749155603117,506.6494504119936,29903,25872.0,0.8651974718255694
ERR4458957,NC_045512.2,SARS-CoV2,131.30127411965356,93.77077132772347,29903,5902.0,0.19737150118717187
ERR4458958,NC_045512.2,SARS-CoV2,161.9312443567535,131.65133826073216,29903,9317.0,0.31157408955623184
ERR4458959,NC_045512.2,SARS-CoV2,421.3935391097883,355.78190800479547,29903,20767.0,0.694478814834632
ERR4458960,NC_045512.2,SARS-CoV2,628.9403738755309,572.7423169665886,29903,22678.0,0.7583854462762933
ERR4458961,NC_045512.2,SARS-CoV2,427.5356987593218,332.33282454270153,29903,21952.0,0.7341069457913921
ERR4458962,NC_045512.2,SARS-CoV2,525.2796709360265,373.241185222186,29903,25403.0,0.8495134267464803
ERR4458963,NC_045512.2,SARS-CoV2,1383.4777447078889,1007.3997343485505,29903,29022.0,0.9705380731030332
ERR4458964,NC_045512.2,SARS-CoV2,680.8911146038859,421.44864311205095,29903,27481.0,0.9190047821288834
ERR4458965,NC_045512.2,SARS-CoV2,592.112764605558,459.19719868305776,29903,25153.0,0.8411530615657292
ERR4458966,NC_045512.2,SARS-CoV2,277.86967862756245,258.76701355553064,29903,15980.0,0.5343945423536101
ERR4458967,NC_045512.2,SARS-CoV2,462.6291007591212,369.1185008090315,29903,22291.0,0.7454436009764907
ERR4458968,NC_045512.2,SARS-CoV2,609.4109955522857,507.5630706751151,29903,24338.0,0.8138982710764806
ERR4458969,NC_045512.2,SARS-CoV2,108.41912182724141,123.96443197207391,29903,5356.0,0.17911246363241146
ERR4458970,NC_045512.2,SARS-CoV2,68.26789954185199,82.79253711710062,29903,2137.0,0.07146440156506036
ERR4458971,NC_045512.2,SARS-CoV2,558.2428184463097,483.20374273801775,29903,23618.0,0.7898204193559175
ERR4458972,NC_045512.2,SARS-CoV2,148.04046416747482,95.05504480203501,29903,7162.0,0.2395077416981574
ERR4458973,NC_045512.2,SARS-CoV2,213.75537571481124,215.55170999570709,29903,12809.0,0.4283516704009631
ERR4458974,NC_045512.2,SARS-CoV2,268.67113667524995,262.30183062598866,29903,14733.0,0.49269304083202353
ERR4458975,NC_045512.2,SARS-CoV2,428.75283416379625,383.5251891827364,29903,21046.0,0.7038089823763501
ERR4458976,NC_045512.2,SARS-CoV2,271.9854529645855,314.4934950146496,29903,13495.0,0.45129251245694413
ERR4458977,NC_045512.2,SARS-CoV2,219.57867103635087,232.21961932137756,29903,11870.0,0.396950138782062
ERR4458978,NC_045512.2,SARS-CoV2,523.0506303715347,427.8082203878223,29903,22795.0,0.7622980971808848
ERR4458979,NC_045512.2,SARS-CoV2,532.4100591913855,405.4546122246176,29903,24287.0,0.8121927565796074
ERR4458980,NC_045512.2,SARS-CoV2,481.73307026050895,486.7385693912169,29903,19659.0,0.6574256763535431
ERR4458981,NC_045512.2,SARS-CoV2,812.7963415041969,760.6497962212746,29903,25184.0,0.8421897468481423
